temporada,pos,equipo_id,equipo_nombre,PJ,PG,PE,PP,GF,GC,DG,Pnt
17,8,278,💾IrmandadeAlimañeira,26,14,2,10,174,151,23,44
17,9,351,💾vendo cuenta,26,11,0,15,154,154,0,33
17,10,4190,₠ Royal King 🍀,26,10,2,14,164,187,-23,32
17,11,413,🇫🇷 Frog St Germain,26,10,0,16,144,200,-56,30
17,12,2616,🏴‍☠Winning Eleven,26,6,2,18,134,202,-68,20
17,13,4165,💾 Policía Nacional,26,3,2,21,115,205,-90,11
17,14,622,#HC Murcia Tropical,26,2,1,23,92,200,-108,7
18,1,82,#HC👾🌀Trompellots 🍀,25,20,1,4,143,70,73,61
18,2,20,🐺​Lone Wolf🐺​,25,19,1,5,189,102,87,58
18,3,229,#HC Tavernes 🍀 c.f,25,14,3,8,124,101,23,45
18,4,16397,💾Bertamiráns F.C.,25,14,1,10,148,129,19,43
18,5,3485,🏴‍☠Leões de Fogo,25,13,3,9,158,125,33,42
18,6,4190,₠ Royal King 🍀,25,14,0,11,140,118,22,42
18,7,443,FC Ubuntu™,25,12,6,7,151,131,20,42
18,8,3017,💾 S͙C͙F͙₁₉₃₂₀,25,13,3,9,169,151,18,42
18,9,278,💾IrmandadeAlimañeira,25,10,3,12,115,116,-1,33
18,10,3705,👑 CE. Nobel 🏆,25,8,5,12,120,177,-57,29
18,11,351,💾vendo cuenta,25,8,2,15,120,153,-33,26
18,12,13127,Volando voy F.C,25,6,1,18,133,181,-48,19
18,13,1479,₠ Amaretto FC,25,4,3,18,96,162,-66,15
18,14,2495,💾VCF1919🍀,25,3,2,20,71,161,-90,11
